期刊名称	IF	JCR分区	Category	ISSN	eISSN	中科院分区
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS	4.4	Q1	GENETICS & HEREDITY(SCIE)	1552-4868	1552-4876	3
American Journal of Medicine	5.3	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	0002-9343	1555-7162	3
AMERICAN JOURNAL OF NEPHROLOGY	3.2	Q1	UROLOGY & NEPHROLOGY(SCIE)	0250-8095	1421-9670	2
AMERICAN JOURNAL OF NEURORADIOLOGY	3.7	Q1	CLINICAL NEUROLOGY(SCIE);NEUROIMAGING(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	0195-6108	1936-959X	2
AMERICAN JOURNAL OF OPHTHALMOLOGY	4.2	Q1	OPHTHALMOLOGY(SCIE)	0002-9394	1879-1891	1
AMERICAN JOURNAL OF PATHOLOGY	3.6	Q1	PATHOLOGY(SCIE)	0002-9440	1525-2191	2
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY	4.7	Q1	CELL BIOLOGY(SCIE);PHYSIOLOGY(SCIE)	0363-6143	1522-1563	3
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM	3.1	Q2	ENDOCRINOLOGY & METABOLISM(SCIE);PHYSIOLOGY(SCIE)	0193-1849	1522-1555	2
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY	3.3	Q2	GASTROENTEROLOGY & HEPATOLOGY(SCIE);PHYSIOLOGY(SCIE)	0193-1857	1522-1547	3
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY	4.1	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE);PHYSIOLOGY(SCIE)	0363-6135	1522-1539	2
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY	3.5	Q1	PHYSIOLOGY(SCIE);RESPIRATORY SYSTEM(SCIE)	1040-0605	1522-1504	3
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY	3.4	Q1	PHYSIOLOGY(SCIE);UROLOGY & NEPHROLOGY(SCIE)	1931-857X	1522-1466	2
American Journal of Preventive Cardiology	5.9	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(ESCI)	2666-6677	2666-6677	2
AMERICAN JOURNAL OF PSYCHIATRY	14.7	Q1	PSYCHIATRY(SCIE, SSCI)	0002-953X	1535-7228	1
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	19.4	Q1	CRITICAL CARE MEDICINE(SCIE);RESPIRATORY SYSTEM(SCIE)	1073-449X	1535-4970	1
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY	5.3	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE);RESPIRATORY SYSTEM(SCIE)	1044-1549	1535-4989	2
AMERICAN JOURNAL OF ROENTGENOLOGY	6.1	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	0361-803X	1546-3141	2
AMERICAN JOURNAL OF SURGICAL PATHOLOGY	4.2	Q1	PATHOLOGY(SCIE);SURGERY(SCIE)	0147-5185	1532-0979	1
AMERICAN PSYCHOLOGIST	7.2	Q1	PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)	0003-066X	1935-990X	1
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS	7.4	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MEDICINE, GENERAL & INTERNAL(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	1350-6129	1744-2818	2
ANAESTHESIA	6.9	Q1	ANESTHESIOLOGY(SCIE)	0003-2409	1365-2044	1
Anaesthesia Critical Care & Pain Medicine	4.7	Q1	ANESTHESIOLOGY(SCIE);CRITICAL CARE MEDICINE(SCIE)	2352-5568	2352-5568	2
ANAIS BRASILEIROS DE DERMATOLOGIA	3.6	Q1	DERMATOLOGY(SCIE)	0365-0596	1806-4841	3
ANALYST	3.3	Q2	CHEMISTRY, ANALYTICAL(SCIE)	0003-2654	1364-5528	3
Analytica Chimica Acta	6	Q1	CHEMISTRY, ANALYTICAL(SCIE)	0003-2670	1873-4324	2
ANALYTICAL AND BIOANALYTICAL CHEMISTRY	3.8	Q1	BIOCHEMICAL RESEARCH METHODS(SCIE);CHEMISTRY, ANALYTICAL(SCIE)	1618-2642	1618-2650	2
ANALYTICAL CHEMISTRY	6.7	Q1	CHEMISTRY, ANALYTICAL(SCIE)	0003-2700	1520-6882	1
Analytical Science Advances	4.1	Q1	CHEMISTRY, ANALYTICAL(ESCI)	2628-5452	2628-5452	3
Andrology	3.4	Q1	ANDROLOGY(SCIE)	2047-2919	2047-2927	3
ANESTHESIA AND ANALGESIA	3.8	Q1	ANESTHESIOLOGY(SCIE)	0003-2999	1526-7598	2
ANESTHESIOLOGY	9.1	Q1	ANESTHESIOLOGY(SCIE)	0003-3022	1528-1175	1
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	16.9	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	N/A	1521-3773	1
ANGIOGENESIS	9.2	Q1	PERIPHERAL VASCULAR DISEASE(SCIE)	0969-6970	1573-7209	1
ANGLE ORTHODONTIST	3.2	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	0003-3219	1945-7103	2
Animal Models and Experimental Medicine	3.4	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(ESCI);MEDICINE, RESEARCH & EXPERIMENTAL(ESCI)	2096-5451	2576-2095	2
ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY	4.7	Q1	ALLERGY(SCIE);IMMUNOLOGY(SCIE)	1081-1206	1534-4436	2
ANNALS OF BEHAVIORAL MEDICINE	3.3	Q1	PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)	0883-6612	1532-4796	2
Annals of Cardiothoracic Surgery	3.1	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);SURGERY(SCIE)	2225-319X	2304-1021	2
Annals of Clinical and Translational Neurology	3.9	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	2328-9503	2328-9503	2
Annals of Clinical Microbiology and Antimicrobials	3.6	Q2	MICROBIOLOGY(SCIE)	N/A	1476-0711	2
ANNALS OF EMERGENCY MEDICINE	5	Q1	EMERGENCY MEDICINE(SCIE)	0196-0644	1097-6760	1
ANNALS OF FAMILY MEDICINE	5.1	Q1	MEDICINE, GENERAL & INTERNAL(SCIE);PRIMARY HEALTH CARE(SCIE)	1544-1709	1544-1717	2
Annals of Gastroenterological Surgery	3.3	Q2	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	2475-0328	2475-0328	3
Annals of General Psychiatry	3.1	Q2	PSYCHIATRY(SCIE, SSCI)	N/A	1744-859X	3
Annals of Hepatology	4.4	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	1665-2681	1665-2681	3
Annals of Intensive Care	5.5	Q1	CRITICAL CARE MEDICINE(SCIE)	2110-5820	2110-5820	1
